"Package","Version"
"doParallel","1.0.17"
"pkgcheck","0.0.2.239"
"tweenr","2.0.2"
"ghql","0.1.0"
"available","1.1.0"
"parsedate","1.3.1"
"isoband","0.2.7"
"lazyeval","0.2.2"
"yaml","2.3.7"
"spatstat","3.0-2"
"anomalize","0.2.2"
"pkgstats","0.1.1"
"mapsf","0.6.1"
"osmdata","0.1.10"
"kableExtra","1.3.4"
"highr","0.10"
"dichromat","2.0-0.1"
"sweep","0.2.3"
"graphql","1.5.1"
"praise","1.0.0"
